index,category_1,category_2,counts,date,week_no
10349,Region,East Midlands,757,2015-06-19,25
10350,Region,East Midlands,756,2015-06-26,26
10351,Region,East Midlands,750,2015-07-03,27
10352,Region,East Midlands,817,2015-07-10,28
10353,Region,East Midlands,781,2015-07-17,29
10354,Region,East Midlands,734,2015-07-24,30
10355,Region,East Midlands,715,2015-07-31,31
10356,Region,East Midlands,664,2015-08-07,32
10357,Region,East Midlands,792,2015-08-14,33
10358,Region,East Midlands,747,2015-08-21,34
10359,Region,East Midlands,797,2015-08-28,35
10360,Region,East Midlands,663,2015-09-04,36
10361,Region,East Midlands,814,2015-09-11,37
10362,Region,East Midlands,748,2015-09-18,38
10363,Region,East Midlands,795,2015-09-25,39
10364,Region,East Midlands,814,2015-10-02,40
10365,Region,East Midlands,821,2015-10-09,41
10366,Region,East Midlands,809,2015-10-16,42
10367,Region,East Midlands,835,2015-10-23,43
10368,Region,East Midlands,814,2015-10-30,44
10369,Region,East Midlands,883,2015-11-06,45
10370,Region,East Midlands,767,2015-11-13,46
10371,Region,East Midlands,844,2015-11-20,47
10372,Region,East Midlands,844,2015-11-27,48
10373,Region,East Midlands,919,2015-12-04,49
10374,Region,East Midlands,915,2015-12-11,50
10375,Region,East Midlands,897,2015-12-18,51
10376,Region,East Midlands,707,2015-12-25,52
10377,Region,East Midlands,646,2016-01-01,53
10378,Region,West Midlands,1296,2015-01-02,1
10379,Region,West Midlands,1713,2015-01-09,2
10380,Region,West Midlands,1542,2015-01-16,3
10381,Region,West Midlands,1400,2015-01-23,4
10382,Region,West Midlands,1395,2015-01-30,5
10383,Region,West Midlands,1229,2015-02-06,6
10384,Region,West Midlands,1161,2015-02-13,7
10385,Region,West Midlands,1152,2015-02-20,8
10386,Region,West Midlands,1149,2015-02-27,9
10387,Region,West Midlands,1188,2015-03-06,10
10388,Region,West Midlands,1101,2015-03-13,11
10389,Region,West Midlands,1083,2015-03-20,12
10390,Region,West Midlands,1071,2015-03-27,13
10391,Region,West Midlands,980,2015-04-03,14
10392,Region,West Midlands,994,2015-04-10,15
10393,Region,West Midlands,1294,2015-04-17,16
10394,Region,West Midlands,1115,2015-04-24,17
10395,Region,West Midlands,1053,2015-05-01,18
10396,Region,West Midlands,949,2015-05-08,19
10397,Region,West Midlands,1057,2015-05-15,20
10398,Region,West Midlands,1018,2015-05-22,21
10399,Region,West Midlands,844,2015-05-29,22
10400,Region,West Midlands,1042,2015-06-05,23
10401,Region,West Midlands,975,2015-06-12,24
10402,Region,West Midlands,943,2015-06-19,25
10403,Region,West Midlands,927,2015-06-26,26
10404,Region,West Midlands,964,2015-07-03,27
10405,Region,West Midlands,941,2015-07-10,28
10406,Region,West Midlands,882,2015-07-17,29
10407,Region,West Midlands,938,2015-07-24,30
10408,Region,West Midlands,917,2015-07-31,31
10409,Region,West Midlands,913,2015-08-07,32
10410,Region,West Midlands,950,2015-08-14,33
10411,Region,West Midlands,969,2015-08-21,34
10412,Region,West Midlands,834,2015-08-28,35
10413,Region,West Midlands,774,2015-09-04,36
10414,Region,West Midlands,932,2015-09-11,37
10415,Region,West Midlands,973,2015-09-18,38
10416,Region,West Midlands,969,2015-09-25,39
10417,Region,West Midlands,957,2015-10-02,40
10418,Region,West Midlands,951,2015-10-09,41
10419,Region,West Midlands,997,2015-10-16,42
10420,Region,West Midlands,1053,2015-10-23,43
10421,Region,West Midlands,967,2015-10-30,44
10422,Region,West Midlands,1084,2015-11-06,45
10423,Region,West Midlands,1027,2015-11-13,46
10424,Region,West Midlands,1071,2015-11-20,47
10425,Region,West Midlands,990,2015-11-27,48
10426,Region,West Midlands,1087,2015-12-04,49
10427,Region,West Midlands,1006,2015-12-11,50
10428,Region,West Midlands,1101,2015-12-18,51
10429,Region,West Midlands,826,2015-12-25,52
10430,Region,West Midlands,799,2016-01-01,53
10431,Region,East,1221,2015-01-02,1
10432,Region,East,1712,2015-01-09,2
10433,Region,East,1657,2015-01-16,3
10434,Region,East,1565,2015-01-23,4
10435,Region,East,1450,2015-01-30,5
10436,Region,East,1360,2015-02-06,6
10437,Region,East,1284,2015-02-13,7
10438,Region,East,1276,2015-02-20,8
10439,Region,East,1286,2015-02-27,9
10440,Region,East,1232,2015-03-06,10
10441,Region,East,1172,2015-03-13,11
10442,Region,East,1158,2015-03-20,12
10443,Region,East,1098,2015-03-27,13
10444,Region,East,971,2015-04-03,14
10445,Region,East,1062,2015-04-10,15
10446,Region,East,1289,2015-04-17,16
10447,Region,East,1050,2015-04-24,17
10448,Region,East,1112,2015-05-01,18
10449,Region,East,910,2015-05-08,19
10450,Region,East,1099,2015-05-15,20
10451,Region,East,989,2015-05-22,21
10452,Region,East,838,2015-05-29,22
10453,Region,East,1150,2015-06-05,23
10454,Region,East,997,2015-06-12,24
10455,Region,East,1020,2015-06-19,25
10456,Region,East,998,2015-06-26,26
10457,Region,East,977,2015-07-03,27
10458,Region,East,939,2015-07-10,28
10459,Region,East,952,2015-07-17,29
10460,Region,East,934,2015-07-24,30
10461,Region,East,941,2015-07-31,31
10462,Region,East,908,2015-08-07,32
10463,Region,East,1014,2015-08-14,33
10464,Region,East,943,2015-08-21,34
10465,Region,East,981,2015-08-28,35
10466,Region,East,856,2015-09-04,36
10467,Region,East,922,2015-09-11,37
10468,Region,East,942,2015-09-18,38
10469,Region,East,981,2015-09-25,39
10470,Region,East,984,2015-10-02,40
10471,Region,East,1105,2015-10-09,41
10472,Region,East,1030,2015-10-16,42
10473,Region,East,1022,2015-10-23,43
10474,Region,East,1030,2015-10-30,44
10475,Region,East,1011,2015-11-06,45
10476,Region,East,1018,2015-11-13,46
10477,Region,East,1043,2015-11-20,47
10478,Region,East,1066,2015-11-27,48
10479,Region,East,1065,2015-12-04,49
10480,Region,East,1018,2015-12-11,50
10481,Region,East,1086,2015-12-18,51
10482,Region,East,916,2015-12-25,52
10483,Region,East,653,2016-01-01,53
10484,Region,London,1233,2015-01-02,1
10485,Region,London,1549,2015-01-09,2
10486,Region,London,1275,2015-01-16,3
10487,Region,London,1220,2015-01-23,4
10488,Region,London,1119,2015-01-30,5
10489,Region,London,1097,2015-02-06,6
10490,Region,London,1108,2015-02-13,7
10491,Region,London,1102,2015-02-20,8
10492,Region,London,1062,2015-02-27,9
10493,Region,London,1063,2015-03-06,10
10494,Region,London,1070,2015-03-13,11
10495,Region,London,1092,2015-03-20,12
10496,Region,London,1080,2015-03-27,13
10497,Region,London,877,2015-04-03,14
10498,Region,London,1002,2015-04-10,15
10499,Region,London,1089,2015-04-17,16
10500,Region,London,1000,2015-04-24,17
10501,Region,London,961,2015-05-01,18
10502,Region,London,827,2015-05-08,19
10503,Region,London,949,2015-05-15,20
10504,Region,London,906,2015-05-22,21
10505,Region,London,793,2015-05-29,22
10506,Region,London,961,2015-06-05,23
10507,Region,London,880,2015-06-12,24
10508,Region,London,892,2015-06-19,25
10509,Region,London,887,2015-06-26,26
10510,Region,London,901,2015-07-03,27
10511,Region,London,842,2015-07-10,28
10512,Region,London,881,2015-07-17,29
10513,Region,London,833,2015-07-24,30
10514,Region,London,780,2015-07-31,31
10515,Region,London,858,2015-08-07,32
10516,Region,London,879,2015-08-14,33
10517,Region,London,901,2015-08-21,34
10518,Region,London,855,2015-08-28,35
10519,Region,London,803,2015-09-04,36
10520,Region,London,867,2015-09-11,37
10521,Region,London,901,2015-09-18,38
10522,Region,London,917,2015-09-25,39
10523,Region,London,918,2015-10-02,40
10524,Region,London,976,2015-10-09,41
10525,Region,London,912,2015-10-16,42
10526,Region,London,921,2015-10-23,43
10527,Region,London,969,2015-10-30,44
10528,Region,London,955,2015-11-06,45
10529,Region,London,993,2015-11-13,46
10530,Region,London,966,2015-11-20,47
10531,Region,London,915,2015-11-27,48
10532,Region,London,998,2015-12-04,49
10533,Region,London,985,2015-12-11,50
10534,Region,London,990,2015-12-18,51
10535,Region,London,870,2015-12-25,52
10536,Region,London,766,2016-01-01,53
10537,Region,South East,1811,2015-01-02,1
10538,Region,South East,2525,2015-01-09,2
10539,Region,South East,2427,2015-01-16,3
10540,Region,South East,2196,2015-01-23,4
10541,Region,South East,1991,2015-01-30,5
10542,Region,South East,1843,2015-02-06,6
10543,Region,South East,1836,2015-02-13,7
10544,Region,South East,1713,2015-02-20,8
10545,Region,South East,1767,2015-02-27,9
10546,Region,South East,1709,2015-03-06,10
10547,Region,South East,1731,2015-03-13,11
10548,Region,South East,1531,2015-03-20,12
10549,Region,South East,1566,2015-03-27,13
10550,Region,South East,1352,2015-04-03,14
10551,Region,South East,1488,2015-04-10,15
10552,Region,South East,1810,2015-04-17,16
10553,Region,South East,1708,2015-04-24,17
10554,Region,South East,1530,2015-05-01,18
10555,Region,South East,1343,2015-05-08,19
10556,Region,South East,1552,2015-05-15,20
10557,Region,South East,1587,2015-05-22,21
10558,Region,South East,1216,2015-05-29,22
10559,Region,South East,1538,2015-06-05,23
10560,Region,South East,1483,2015-06-12,24
10561,Region,South East,1496,2015-06-19,25
10562,Region,South East,1396,2015-06-26,26
10563,Region,South East,1382,2015-07-03,27
10564,Region,South East,1370,2015-07-10,28
10565,Region,South East,1320,2015-07-17,29
10566,Region,South East,1382,2015-07-24,30
10567,Region,South East,1217,2015-07-31,31
10568,Region,South East,1388,2015-08-07,32
10569,Region,South East,1370,2015-08-14,33
10570,Region,South East,1364,2015-08-21,34
10571,Region,South East,1358,2015-08-28,35
10572,Region,South East,1188,2015-09-04,36
10573,Region,South East,1423,2015-09-11,37
10574,Region,South East,1448,2015-09-18,38
10575,Region,South East,1540,2015-09-25,39
10576,Region,South East,1419,2015-10-02,40
10577,Region,South East,1457,2015-10-09,41
10578,Region,South East,1402,2015-10-16,42
10579,Region,South East,1461,2015-10-23,43
10580,Region,South East,1506,2015-10-30,44
10581,Region,South East,1482,2015-11-06,45
10582,Region,South East,1544,2015-11-13,46
10583,Region,South East,1470,2015-11-20,47
10584,Region,South East,1536,2015-11-27,48
10585,Region,South East,1522,2015-12-04,49
10586,Region,South East,1536,2015-12-11,50
10587,Region,South East,1656,2015-12-18,51
10588,Region,South East,1347,2015-12-25,52
10589,Region,South East,1123,2016-01-01,53
10590,Region,South West,1272,2015-01-02,1
10591,Region,South West,1697,2015-01-09,2
10592,Region,South West,1498,2015-01-16,3
10593,Region,South West,1510,2015-01-23,4
10594,Region,South West,1398,2015-01-30,5
10595,Region,South West,1297,2015-02-06,6
10596,Region,South West,1283,2015-02-13,7
10597,Region,South West,1257,2015-02-20,8
10598,Region,South West,1290,2015-02-27,9
10599,Region,South West,1290,2015-03-06,10
10600,Region,South West,1219,2015-03-13,11
10601,Region,South West,1192,2015-03-20,12
10602,Region,South West,1164,2015-03-27,13
10603,Region,South West,920,2015-04-03,14
10604,Region,South West,1005,2015-04-10,15
10605,Region,South West,1212,2015-04-17,16
10606,Region,South West,1129,2015-04-24,17
10607,Region,South West,1110,2015-05-01,18
10608,Region,South West,901,2015-05-08,19
10609,Region,South West,1100,2015-05-15,20
10610,Region,South West,1122,2015-05-22,21
10611,Region,South West,816,2015-05-29,22
10612,Region,South West,1094,2015-06-05,23
10613,Region,South West,1022,2015-06-12,24
10614,Region,South West,983,2015-06-19,25
10615,Region,South West,916,2015-06-26,26
10616,Region,South West,1017,2015-07-03,27
10617,Region,South West,949,2015-07-10,28
10618,Region,South West,933,2015-07-17,29
10619,Region,South West,905,2015-07-24,30
10620,Region,South West,1000,2015-07-31,31
10621,Region,South West,895,2015-08-07,32
10622,Region,South West,974,2015-08-14,33
10623,Region,South West,1000,2015-08-21,34
10624,Region,South West,967,2015-08-28,35
10625,Region,South West,825,2015-09-04,36
10626,Region,South West,1065,2015-09-11,37
10627,Region,South West,1020,2015-09-18,38
10628,Region,South West,975,2015-09-25,39
10629,Region,South West,1086,2015-10-02,40
10630,Region,South West,1076,2015-10-09,41
10631,Region,South West,1039,2015-10-16,42
10632,Region,South West,1079,2015-10-23,43
10633,Region,South West,1003,2015-10-30,44
10634,Region,South West,1002,2015-11-06,45
10635,Region,South West,1081,2015-11-13,46
10636,Region,South West,1019,2015-11-20,47
10637,Region,South West,1037,2015-11-27,48
10638,Region,South West,1127,2015-12-04,49
10639,Region,South West,1102,2015-12-11,50
10640,Region,South West,1089,2015-12-18,51
10641,Region,South West,877,2015-12-25,52
10642,Region,South West,757,2016-01-01,53
10643,Region,Wales,725,2015-01-02,1
10644,Region,Wales,1031,2015-01-09,2
10645,Region,Wales,936,2015-01-16,3
10646,Region,Wales,828,2015-01-23,4
10647,Region,Wales,801,2015-01-30,5
10648,Region,Wales,720,2015-02-06,6
10649,Region,Wales,710,2015-02-13,7
10650,Region,Wales,739,2015-02-20,8
10651,Region,Wales,736,2015-02-27,9
10652,Region,Wales,712,2015-03-06,10
10653,Region,Wales,661,2015-03-13,11
10654,Region,Wales,680,2015-03-20,12
10655,Region,Wales,666,2015-03-27,13
10656,Region,Wales,580,2015-04-03,14
10657,Region,Wales,660,2015-04-10,15
10658,Region,Wales,671,2015-04-17,16
10659,Region,Wales,662,2015-04-24,17
10660,Region,Wales,628,2015-05-01,18
10661,Region,Wales,589,2015-05-08,19
10662,Region,Wales,622,2015-05-15,20
10663,Region,Wales,614,2015-05-22,21
10664,Region,Wales,588,2015-05-29,22
10665,Region,Wales,648,2015-06-05,23
10666,Region,Wales,606,2015-06-12,24
10667,Region,Wales,595,2015-06-19,25
10668,Region,Wales,597,2015-06-26,26
10669,Region,Wales,535,2015-07-03,27
10670,Region,Wales,554,2015-07-10,28
10671,Region,Wales,574,2015-07-17,29
10672,Region,Wales,529,2015-07-24,30
10673,Region,Wales,546,2015-07-31,31
10674,Region,Wales,564,2015-08-07,32
10675,Region,Wales,548,2015-08-14,33
10676,Region,Wales,557,2015-08-21,34
10677,Region,Wales,603,2015-08-28,35
10678,Region,Wales,489,2015-09-04,36
10679,Region,Wales,554,2015-09-11,37
10680,Region,Wales,555,2015-09-18,38
10681,Region,Wales,664,2015-09-25,39
10682,Region,Wales,552,2015-10-02,40
10683,Region,Wales,652,2015-10-09,41
10684,Region,Wales,612,2015-10-16,42
10685,Region,Wales,607,2015-10-23,43
10686,Region,Wales,593,2015-10-30,44
10687,Region,Wales,606,2015-11-06,45
10688,Region,Wales,613,2015-11-13,46
10689,Region,Wales,611,2015-11-20,47
10690,Region,Wales,589,2015-11-27,48
10691,Region,Wales,659,2015-12-04,49
10692,Region,Wales,688,2015-12-11,50
10693,Region,Wales,646,2015-12-18,51
10694,Region,Wales,535,2015-12-25,52
10695,Region,Wales,516,2016-01-01,53
10696,Total deaths,all ages,13045,2016-01-08,1
10697,Total deaths,all ages,11501,2016-01-15,2
10698,Total deaths,all ages,11473,2016-01-22,3
10699,Total deaths,all ages,11317,2016-01-29,4
10700,Total deaths,all ages,11052,2016-02-05,5
10701,Total deaths,all ages,11170,2016-02-12,6
10702,Total deaths,all ages,10590,2016-02-19,7
10703,Total deaths,all ages,11056,2016-02-26,8
10704,Total deaths,all ages,11285,2016-03-04,9
10705,Total deaths,all ages,11010,2016-03-11,10
10706,Total deaths,all ages,11022,2016-03-18,11
10707,Total deaths,all ages,9635,2016-03-25,12
10708,Total deaths,all ages,10286,2016-04-01,13
10709,Total deaths,all ages,11599,2016-04-08,14
10710,Total deaths,all ages,11417,2016-04-15,15
10711,Total deaths,all ages,10925,2016-04-22,16
10712,Total deaths,all ages,10413,2016-04-29,17
10713,Total deaths,all ages,9137,2016-05-06,18
10714,Total deaths,all ages,10637,2016-05-13,19
10715,Total deaths,all ages,9953,2016-05-20,20
10716,Total deaths,all ages,9739,2016-05-27,21
10717,Total deaths,all ages,7909,2016-06-03,22
10718,Total deaths,all ages,9873,2016-06-10,23
10719,Total deaths,all ages,9386,2016-06-17,24
10720,Total deaths,all ages,9365,2016-06-24,25
10721,Total deaths,all ages,9228,2016-07-01,26
10722,Total deaths,all ages,9138,2016-07-08,27
10723,Total deaths,all ages,9388,2016-07-15,28
10724,Total deaths,all ages,9350,2016-07-22,29
10725,Total deaths,all ages,9335,2016-07-29,30
10726,Total deaths,all ages,9182,2016-08-05,31
10727,Total deaths,all ages,9172,2016-08-12,32
10728,Total deaths,all ages,9070,2016-08-19,33
10729,Total deaths,all ages,9319,2016-08-26,34
10730,Total deaths,all ages,7923,2016-09-02,35
10731,Total deaths,all ages,9399,2016-09-09,36
10732,Total deaths,all ages,9124,2016-09-16,37
10733,Total deaths,all ages,8945,2016-09-23,38
10734,Total deaths,all ages,8994,2016-09-30,39
10735,Total deaths,all ages,9291,2016-10-07,40
10736,Total deaths,all ages,9719,2016-10-14,41
10737,Total deaths,all ages,9768,2016-10-21,42
10738,Total deaths,all ages,9724,2016-10-28,43
10739,Total deaths,all ages,10152,2016-11-04,44
10740,Total deaths,all ages,10470,2016-11-11,45
10741,Total deaths,all ages,10694,2016-11-18,46
10742,Total deaths,all ages,10603,2016-11-25,47
10743,Total deaths,all ages,10439,2016-12-02,48
10744,Total deaths,all ages,11223,2016-12-09,49
10745,Total deaths,all ages,10533,2016-12-16,50
10746,Total deaths,all ages,11493,2016-12-23,51
10747,Total deaths,all ages,8003,2016-12-30,52
10748,Total deaths,average of same week over 5 years,11701.4,2016-01-08,1
10749,Total deaths,average of same week over 5 years,13016.4,2016-01-15,2
10750,Total deaths,average of same week over 5 years,11765.4,2016-01-22,3
10751,Total deaths,average of same week over 5 years,11289,2016-01-29,4
10752,Total deaths,average of same week over 5 years,10965.6,2016-02-05,5
10753,Total deaths,average of same week over 5 years,10704,2016-02-12,6
10754,Total deaths,average of same week over 5 years,10669.4,2016-02-19,7
10755,Total deaths,average of same week over 5 years,10657.6,2016-02-26,8
10756,Total deaths,average of same week over 5 years,10613,2016-03-04,9
10757,Total deaths,average of same week over 5 years,10544,2016-03-11,10
10758,Total deaths,average of same week over 5 years,10405,2016-03-18,11
10759,Total deaths,average of same week over 5 years,10209.4,2016-03-25,12
10760,Total deaths,average of same week over 5 years,9668,2016-04-01,13
10761,Total deaths,average of same week over 5 years,9592.4,2016-04-08,14
10762,Total deaths,average of same week over 5 years,10206.2,2016-04-15,15
10763,Total deaths,average of same week over 5 years,10104.8,2016-04-22,16
10764,Total deaths,average of same week over 5 years,9776.6,2016-04-29,17
10765,Total deaths,average of same week over 5 years,10127.8,2016-05-06,18
10766,Total deaths,average of same week over 5 years,9058.4,2016-05-13,19
10767,Total deaths,average of same week over 5 years,9699.2,2016-05-20,20
10768,Total deaths,average of same week over 5 years,9524,2016-05-27,21
10769,Total deaths,average of same week over 5 years,8417.2,2016-06-03,22
10770,Total deaths,average of same week over 5 years,9047.2,2016-06-10,23
10771,Total deaths,average of same week over 5 years,9388.4,2016-06-17,24
10772,Total deaths,average of same week over 5 years,8986,2016-06-24,25
10773,Total deaths,average of same week over 5 years,8852,2016-07-01,26
10774,Total deaths,average of same week over 5 years,8872.2,2016-07-08,27
10775,Total deaths,average of same week over 5 years,8706.8,2016-07-15,28
10776,Total deaths,average of same week over 5 years,8776.2,2016-07-22,29
10777,Total deaths,average of same week over 5 years,8712.2,2016-07-29,30
10778,Total deaths,average of same week over 5 years,8682.6,2016-08-05,31
10779,Total deaths,average of same week over 5 years,8651.4,2016-08-12,32
10780,Total deaths,average of same week over 5 years,8671.8,2016-08-19,33
10781,Total deaths,average of same week over 5 years,8783.4,2016-08-26,34
10782,Total deaths,average of same week over 5 years,8020,2016-09-02,35
10783,Total deaths,average of same week over 5 years,8813.2,2016-09-09,36
10784,Total deaths,average of same week over 5 years,8825.8,2016-09-16,37
10785,Total deaths,average of same week over 5 years,8839.4,2016-09-23,38
10786,Total deaths,average of same week over 5 years,9105.6,2016-09-30,39
10787,Total deaths,average of same week over 5 years,9133.2,2016-10-07,40
10788,Total deaths,average of same week over 5 years,9210,2016-10-14,41
10789,Total deaths,average of same week over 5 years,9225.6,2016-10-21,42
10790,Total deaths,average of same week over 5 years,9445.4,2016-10-28,43
10791,Total deaths,average of same week over 5 years,9459,2016-11-04,44
10792,Total deaths,average of same week over 5 years,9584.8,2016-11-11,45
10793,Total deaths,average of same week over 5 years,9751.4,2016-11-18,46
10794,Total deaths,average of same week over 5 years,9572,2016-11-25,47
10795,Total deaths,average of same week over 5 years,9615.4,2016-12-02,48
10796,Total deaths,average of same week over 5 years,10042,2016-12-09,49
10797,Total deaths,average of same week over 5 years,10317,2016-12-16,50
10798,Total deaths,average of same week over 5 years,11061.8,2016-12-23,51
10799,Total deaths,average of same week over 5 years,7925,2016-12-30,52
10800,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),2046,2016-01-08,1
10801,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1835,2016-01-15,2
10802,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1775,2016-01-22,3
10803,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1810,2016-01-29,4
10804,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1748,2016-02-05,5
10805,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1730,2016-02-12,6
10806,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1700,2016-02-19,7
10807,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1734,2016-02-26,8
10808,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1774,2016-03-04,9
10809,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1768,2016-03-11,10
10810,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1709,2016-03-18,11
10811,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1485,2016-03-25,12
10812,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1688,2016-04-01,13
10813,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1971,2016-04-08,14
10814,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1809,2016-04-15,15
10815,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1597,2016-04-22,16
10816,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1396,2016-04-29,17
10817,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1261,2016-05-06,18
10818,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1447,2016-05-13,19
10819,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1328,2016-05-20,20
10820,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1248,2016-05-27,21
10821,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),982,2016-06-03,22
10822,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1292,2016-06-10,23
10823,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1225,2016-06-17,24
10824,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1206,2016-06-24,25
10825,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1106,2016-07-01,26
10826,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1062,2016-07-08,27
10827,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1101,2016-07-15,28
10828,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1168,2016-07-22,29
10829,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1190,2016-07-29,30
10830,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1112,2016-08-05,31
10831,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1065,2016-08-12,32
10832,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1032,2016-08-19,33
10833,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1093,2016-08-26,34
10834,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),917,2016-09-02,35
10835,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1036,2016-09-09,36
10836,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1027,2016-09-16,37
10837,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1039,2016-09-23,38
10838,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),979,2016-09-30,39
10839,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1060,2016-10-07,40
10840,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1153,2016-10-14,41
10841,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1238,2016-10-21,42
10842,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1270,2016-10-28,43
10843,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1276,2016-11-04,44
10844,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1342,2016-11-11,45
10845,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1374,2016-11-18,46
10846,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1413,2016-11-25,47
10847,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1371,2016-12-02,48
10848,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1591,2016-12-09,49
10849,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1522,2016-12-16,50
10850,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1640,2016-12-23,51
10851,All respiratory diseases (ICD-10 J00-J99) ICD-10,v 2013 (IRIS),1312,2016-12-30,52
10852,Persons,Under 1 year,49,2016-01-08,1
10853,Persons,Under 1 year,64,2016-01-15,2
10854,Persons,Under 1 year,50,2016-01-22,3
10855,Persons,Under 1 year,47,2016-01-29,4
10856,Persons,Under 1 year,60,2016-02-05,5
10857,Persons,Under 1 year,60,2016-02-12,6
10858,Persons,Under 1 year,52,2016-02-19,7
10859,Persons,Under 1 year,58,2016-02-26,8
10860,Persons,Under 1 year,39,2016-03-04,9
10861,Persons,Under 1 year,54,2016-03-11,10
10862,Persons,Under 1 year,55,2016-03-18,11
10863,Persons,Under 1 year,55,2016-03-25,12
10864,Persons,Under 1 year,49,2016-04-01,13
10865,Persons,Under 1 year,53,2016-04-08,14
10866,Persons,Under 1 year,63,2016-04-15,15
10867,Persons,Under 1 year,65,2016-04-22,16
10868,Persons,Under 1 year,43,2016-04-29,17
10869,Persons,Under 1 year,55,2016-05-06,18
10870,Persons,Under 1 year,49,2016-05-13,19
10871,Persons,Under 1 year,61,2016-05-20,20
10872,Persons,Under 1 year,63,2016-05-27,21
10873,Persons,Under 1 year,35,2016-06-03,22
10874,Persons,Under 1 year,58,2016-06-10,23
10875,Persons,Under 1 year,49,2016-06-17,24
10876,Persons,Under 1 year,57,2016-06-24,25
10877,Persons,Under 1 year,46,2016-07-01,26
10878,Persons,Under 1 year,49,2016-07-08,27
10879,Persons,Under 1 year,54,2016-07-15,28
10880,Persons,Under 1 year,55,2016-07-22,29
10881,Persons,Under 1 year,39,2016-07-29,30
10882,Persons,Under 1 year,56,2016-08-05,31
10883,Persons,Under 1 year,57,2016-08-12,32
10884,Persons,Under 1 year,42,2016-08-19,33
10885,Persons,Under 1 year,48,2016-08-26,34
10886,Persons,Under 1 year,43,2016-09-02,35
10887,Persons,Under 1 year,48,2016-09-09,36
10888,Persons,Under 1 year,56,2016-09-16,37
